vowels,name,link,subtitle,blurb,AskDmitri
AEIOU,Charles Kimbrough,https://en.wikipedia.org/wiki/Charles_Kimbrough,"US Actor, <i>Murphy Brown</i>","Starred on <i>Murphy Brown</i> with Candice Bergen, whose late husband was <b>Louis Malle</b>. He won a Tony Award® and met his wife Beth Howland (Vera from TV's <i>Alice</i>) in the original cast of <i>Company</i>, making him one of three Sondheim Broadway performers on our list.", AEIOU Charles Kimbrough 83 Alexis Nour 74 James Whitbourn 72 Lambert-Thiboust 72 Charles Wintour 71
AEIUO,Alexis DuPont,https://en.wikipedia.org/wiki/Alexis_Dupont,19th-century French tenor,"Alexis Dupont was a noted operatic tenor of his time, originating roles by Rossini and... eh he's a little boring but it's a tough slot to fill.", AEIUO Valentin Glushko 89 Alfred I. du Pont 87 Alexi Murdoch 84 Andrei Bushkov 80 Andrei Shkuro 77 Takeshi Shudo (Pokemon movies)
AEOIU,Walter Gropius,https://en.wikipedia.org/wiki/Walter_Gropius,German architect,"Founded the Bauhaus school of design, where he taught supervocalic spy and bon vivant <b>Edith Tudor-Hart</b> among others. His most famous work is <b>The Gropiusstadt</b> in Berlin.", AEOIU Walter Gropius 98 Mark Pretorius 57 Anne Hollinghurst 55 Pavel Voicu 49 Charles Bolsius 42
AEOUI,Father Coughlin,https://en.wikipedia.org/wiki/Charles_Coughlin,1930s priest,"Used radio to spread his message of ""Social Justice"", a term he <b>popularized</b>. And if ""real names only"" are allowed, well, his is <b>Charles</b>, which also works for this slot.", AEOUI Charles Coughlin 96 Alberto Burri 95 Alberto Puig 95 Kane Kosugi 87 Francesco Quinn 86
AEUIO,Anne Hutchinson,https://en.wikipedia.org/wiki/Anne_Hutchinson,Early American religious advocate,"Held firm that people could be saved by the Holy Spirit, but not by ""works"", causing the Antinomian Controversy in 17th-century Boston.", AEUIO Anne Hutchinson 99 Dave Ulliott 90 James Hutchinson 90 Abel Trujillo 88 Andrew Murrison 87
AEUOI,Ja'Net DuBois,https://en.wikipedia.org/wiki/Ja%27Net_DuBois,"US Actress, <i>Good Times</i>","She won our hearts with her neighborly sass as Willona on <i>Good Times</i>, her apostrophe, and for singing and writing the classic <i>Jeffersons</i> theme. She edges out barfly <b>Charles Bukowski</b> and <b>Manfred S. Lubowitz</b>—aka Manfred Mann—at 16 letters the longest supervocalic with no repeated letters.", AEUOI Charles Bukowski 100 Charles Dutoit 99 Ja'Net DuBois 90 Matthew J. Bruccoli 76 Matthew Hudson-Smith 75
AIEOU,Annie Proulx,https://en.wikipedia.org/wiki/Annie_Proulx,"US Author, <i>The Shipping News</i>","Also wrote the short story <i>Brokeback Mountain</i>. Even though she sometimes goes by ""E. Annie Proulx"", we cannot quit her.", AIEOU Annie Proulx 92 Daniel Sjolund 86 Archie Stout 85 Charlie Hough 85 Rafik Djebbour 81
AIEUO,Alice Munro,https://en.wikipedia.org/wiki/Alice_Munro,Canadian short story writer,"The gravitas of <b>Alice Munro</b>'s Nobel Prize in Literature earns her the spot over the name appeal of baseball's <b>Van Lingle Mungo</b>. Former late-night host <b>Craig Ferguson</b>, sorry to say, has neither.", AIEUO Craig Ferguson 99 Alice Munro 98 Patrick Ferguson 92 Alice Fulton 90 Daniel Hudson 90
AIOEU,Martin Brodeur,https://en.wikipedia.org/wiki/Martin_Brodeur,NHL goalie 1991–2003,"The all-time NHL wins leader, <b>Martin Brodeur</b> spent 21 seasons in goal for the New Jersey Devils, finishing his career with 7 games as the <b>Blues' goalie</b>. He appeared in net opposite <b>Richard Boucher</b> and John <b>Vanbiesbrouck</b> among others.", AIOEU Martin Brodeur 99 Battiscombe Gunn 85 Marin Sorescu 79 Baggio Leung 70 Ali Ozgenturk 61
AIOUE,David Souter,https://en.wikipedia.org/wiki/David_Souter,US Supreme Court Justice,"Though the former Supreme Court justice gets the nod, Oscar winner <b>David O. Russell</b>, and name favorite <b>Plaxico Burress</b> are strong alternates. The AIOUE ordering is the most fertile for overall ""notability"", as defined by our scoring system.", AIOUE Francis Poulenc 100 David O. Russell 98 David Souter 98 Madison Hubbell 98 Plaxico Burress 96
AIUEO,David Huddleston,https://en.wikipedia.org/wiki/David_Huddleston,"US Actor, <i>The Big Lebowski</I>","He played <i>The Big Lebowski</i>'s <b>titular role</b> as well as the mayor of Rock Ridge in <i>Blazing Saddles</i> (""Not only was that authentic frontier gibberish..."")—two small but cherished American film roles. ", AIUEO Francis Hutcheson 97 David Huddleston 92 Mark di Suvero 92 David Guterson 75 Rainulf Drengot 74
AIUOE,Patti LuPone,https://en.wikipedia.org/wiki/Patti_LuPone,Tony-winning actress,"<b>Patti Lupone</b> won the 1979 Tony for Best Actress in a Musical for <i>Evita</i> the same year <b>Len Cariou</b> won Best Actor for <i>Sweeney Todd</i>. She also later won for a <i>Sweeney Todd</i> revivial, and, in 2020, performed the <b>Ladies Who Lunch</b> in a Broadway revival of <i>Company</i>.", AIUOE Patti LuPone 100 Marius Jonker 80 Patrick Cutrone 78 Franciscus Donders 77 David Burrowes 76
AOEIU,Flat-Top the Brick Truck,https://starlightexpressmusical.fandom.com/wiki/Flat-Top,<i>Starlight Express</i> train,"No, Andrew LLoyd Weber's singing train is technically not human—but he is very nearly a ""Perfect 5""—a supervocalic with five words, each with one vowel. So, we accommodate. Dutch Latin scholar <b>Macrodpedius</b> is a close second on name-coolness alone.", AOEIU Adolf Fredrik Munck 72 Arnold Eidus 66 Macropedius 63 Jakob Sveistrup 58 Jacob Metius 56 + Flat-Top the Brick Truck
AOEUI,Jack Joseph Puig,https://en.wikipedia.org/wiki/Jack_Joseph_Puig,US music producer,"Despite his dozens of producing credits, his work on Jellyfish's debut album gets <b>Jack Joseph Puig</b> the slot. Track 3—<i>The King Is Half-Undressed</i>—is not supervocalic, but you should check it out anyway.", AOEUI Alphonse Juin 96 Jack Joseph Puig 93 Aldo Bertuzzi 76 Franjo Greguric 73 Marco Ferruzzi 69
AOIEU,Françoise Dürr,https://en.wikipedia.org/wiki/Françoise_Dürr,French tennis champion,Being the last French woman to win the French Open until Mary Pierce in 2000 solidifies <b>Françoise Dürr</b>'s supremacy over this slot., AOIEU Francoise Durr 98 Francoiz Breut 56 Andoni Cedrun 54 Caroline Rush 37 Alois Delug 36
AOIUE,Carson Smith McCullers,https://en.wikipedia.org/wiki/Carson_McCullers,US author,"<b>Carson Smith McCullers</b> is the author of <i>The Heart Is a Lonely Hunter</i> and <i>Member of the Wedding</i>, and—at 20 letters—is the longest well-known supervocalic person.", AOIUE Francois Rude 93 Marco Pique 91 Alois Brunner 90 Francois Cluzet 90 Francois Furet 90
AOUEI,Paco Underhill,https://en.wikipedia.org/wiki/Paco_Underhill,US economic psychologist,His <i>Why We Buy</i> is a seminal look at the mind of the American consumer., AOUEI Carlos Quentin 91 (MLB) Cao Xueqin 87 Carlos Uresti 81 Anton Kuerti 80 Adolf Luderitz 74 Jacob Summerlin
AOUIE,Arlo Guthrie,https://en.wikipedia.org/wiki/Arlo_Guthrie,US folk singer,"Folksy <i>Alice's Restaurant</i> singer, and son of Woody Guthrie. It will take more than <i>Rugrats</i> voice artist <b>Kath Soucie</b> to knock off his AOUIE crown.", AOUIE Arlo Guthrie 99 Kath Soucie 98 La Fouine 95 Dan Cloutier 91 Jackson Guice 91
AUEIO,Samuel Wilson,https://en.wikipedia.org/wiki/Samuel_Wilson,"US meatpacker; ""Uncle Sam""","The model for ""Uncle Sam"" is one of the more ubiquitous visual figures in US history, though Tour de France winner <b>Laurent Fignon</b> and physicist <b>Arthur Eddington</b> are contenders.", AUEIO Marcus Ericsson 99 Arthur Eddington 98 Laurent Fignon 96 Paul Pelliot 93 Jacques Villon 92
AUEOI,Claude Bolling,https://en.wikipedia.org/wiki/Claude_Bolling,French pianist,"The piano and flute compositions and prolific scoring career of <b>Claude Bolling</b> earn him the spot over <b>Samuel Goldfish</b>—an anglicization of <b>studio head</b> Samuel Goldwyn's name, which was originally Szmuel Gelbfisz.", AUEOI Marcus Trescothick 98 Paul Preboist 90 Claude Thornhill 86 Lauren Collins 84 Raul Leoni 84
AUIEO,Astrud Gilberto,https://en.wikipedia.org/wiki/Astrud_Gilberto,Brazilian singer,"Owing her fame to an impromptu appearance on her husband Joao's recording session, where she was the only one in the room who could muster any English, <b>Astrud Gilberto</b>'s silky delivery made <i>Girl from Ipanema</i> a classic and gives her the AUIEO slot.", AUIEO Markus Winkelhock 98 Maurice Strong 91 Maurice Horn 89 Astrud Gilberto 88 Maurice Dobb 87
