vowels,name,subtitle
AEOUI,Francesco Quinn,
AEUOI,Charles Bukowski,
AEUOI,Manfred S. Lubovitz,
AEUOI,Blanche DuBois,
AIEOU,Charlie Hough,
AIEUO,Craig Ferguson,
AIEUO,Artie Bucco,
AIEUO,Van Lingle Mungo,
AIOEU,Battiscombe Gunn,
AIOUE,David O. Russell,
AIOUE,Plaxico Burress,
AIOUE,David Thouless,
AOEIU,Hans Cornelius,
AOEIU,Macropedius,
AUEIO,Arthur Eddington,
AUEIO,Laurent Fignon,
AUEIO,Claude Simon,
AUEOI,Samuel Goldfish,
AUIOE,Jacquizz Rodgers,
AUOEI,Raul Mondesi,
EAIOU,Screaming Lord Sutch,
EAIUO,Benjamin Button,
EAOUI,Jean Louis,
EAUIO,Neal Huntington,
EIAOU,Keith Barbour,
EIAOU,Emil Lahoud,
EUOAI,Melus of Bari,
IAEUO,Niall Ferguson,
IAOEU,Richard Brodeur,
IAOUE,Richard Boucher,
IAUEO,Ivan Rutherford,
IEOAU,Philemon Van Trump,
IE'OUA,Dinesh D'Souza,
IEOUA,Diego Luna,
IEUOA,Winbert Mulholland,
IOAEU,Fritz Konrad Ernst Zumpt,
IOAUE,Nicholas Butler,
IOEUA,Christoph Ernst Luthardt,
IUAEO,Wilbur Davenport,
IUAOE,Wilbur Hargrove,
IUAOE,Sir Hugh Walpole,
IUEAO,Miguel Tacon,
OAEIU,Horace Lindrum,
OAEUI,Vontaze Burfict,
OAIEU,O. Maxie Burns,
OAIUE,Omar Vizquel,
OEIAU,Joseph Schildkraut,
OEIUA,Hossein Kuhkan,
OIAUE,Gloria Russell,
OIUEA,Monique Chang,
OUAEI,Douglas Feith,
OUIAE,John Frusciante,
OUIAE,Lou Whitaker,
OUIEA,Louis Réard,
UAEIO,Susan J. Elliott,
UAEIO,Stuart Elliott,
UAEIO,Duane Gibson,
UAOIE,Susan Oliver,
UIAEO,Julian Lennon,
UIAEO,Curtis Granderson,
UIEAO,Lucile Watson,
UIOEA,Judith Vogelsang,
UIOEA,Guido Crepax,
UOAEI,Bruno Martelli,
UOAEI,Bruno Mattei,
UOAIE,Just Fontaine,
UOAIE,Burton Malkiel,
