vowels,name,link,subtitle,blurb,AskDmitri
AEIOU,Charles Kimbrough,https://en.wikipedia.org/wiki/Charles_Kimbrough,"Actor, <i>Murphy Brown</i>","AEIOU actor Charles Kimbrough starred on TV's <i>Murphy Brown</i>, with Candice Bergen, whose late husband LOUIS MALLE is also supervocalic. Kimbrough won a Tony and met his wife Beth Howland—Vera from TV's <i>Alice</i>—in the original cast of <i>Company</i>, making him one of 3 Sondheim Broadway performers on our list.", AEIOU Charles Kimbrough 83 Alexis Nour 74 James Whitbourn 72 Lambert-Thiboust 72 Charles Wintour 71
AEIUO,Alexis DuPont,https://en.wikipedia.org/wiki/Alexis_Dupont,19th century French opera tenor,"Alexis Dupont was a noted tenor of his time, originating roles by Rossini and... eh he's a little boring but it's a tough slot.", AEIUO Valentin Glushko 89 Alfred I. du Pont 87 Alexi Murdoch 84 Andrei Bushkov 80 Andrei Shkuro 77 Takeshi Shudo (Pokemon movies)
AEOIU,Walter Gropius,https://en.wikipedia.org/wiki/Walter_Gropius,"German architect, Bauhaus founder","WALTER GROPIUS developed the Bauhaus and ""International"" styles of architecture. His most famous work is THE GROPIUSSTADT in Berlin. And he taught supervocalic spy and bon vivant EDITH TUDOR-HART, to boot.", AEOIU Walter Gropius 98 Mark Pretorius 57 Anne Hollinghurst 55 Pavel Voicu 49 Charles Bolsius 42
AEOUI,Father Coughlin,https://en.wikipedia.org/wiki/Charles_Coughlin,1930s priest,"Used radio to spread his message of ""Social Justice"", a term he popularized. And if ""real names only"" are allowed, well, his name is CHARLES, so... also good for this slot.", AEOUI Charles Coughlin 96 Alberto Burri 95 Alberto Puig 95 Kane Kosugi 87 Francesco Quinn 86
AEUIO,Anne Hutchinson,https://en.wikipedia.org/wiki/Anne_Hutchinson,Early American religious advocate,"Held firm that persons could be ""saved"" by the spirit of the Holy Ghost, and that works wouldn't save someone, causing the Antinomian Controversy in 17th century Boston.", AEUIO Anne Hutchinson 99 Dave Ulliott 90 James Hutchinson 90 Abel Trujillo 88 Andrew Murrison 87
AEUOI,Ja'Net DuBois,https://en.wikipedia.org/wiki/Ja%27Net_DuBois,"Actress, <i>Good Times</i>","Ja’Net DuBois—Willona from TV’s <i>Good Times</i>—won our hearts not just for her neighborly no-nonsense behavior and for the head-scratching apostrophe in her name, but for belting out as well as writing the <i>Jeffersons</i> theme—one of the best in history. She edges out barfly Charles Bukowski and MANFRED S. LUBOWITZ—better known as Manfred Mann—who at 16 letters is the longest supervocalic person with no repeated letters.", AEUOI Charles Bukowski 100 Charles Dutoit 99 Ja'Net DuBois 90 Matthew J. Bruccoli 76 Matthew Hudson-Smith 75
AIEOU,Annie Proulx,https://en.wikipedia.org/wiki/Annie_Proulx,"Author, <i>The Shipping News</i>","Also wrote the short story <i>Brokeback Mountain</i>. We cannot quit her, even though she sometimes goes by ""E. Annie Proulx"".", AIEOU Annie Proulx 92 Daniel Sjolund 86 Archie Stout 85 Charlie Hough 85 Rafik Djebbour 81
AIEUO,Alice Munro,https://en.wikipedia.org/wiki/Alice_Munro,Canadian short story writer and Nobel laureate,"The gravitas of ALICE MUNRO's Nobel Prize in Literature earns her the spot over the name appeal of baseball's VAN LINGLE MUNGO. Former late-night host CRAIG FERGUSON, sadly, has neither.", AIEUO Craig Ferguson 99 Alice Munro 98 Patrick Ferguson 92 Alice Fulton 90 Daniel Hudson 90
AIOEU,Martin Brodeur,https://en.wikipedia.org/wiki/Martin_Brodeur,NHL goalie 1991–2003,"One of the best goalies of all time, this Hall of Famer has the NHL wins record, spending 21 seasons for the New Jersey Devils. Other supervocalic goalies include Richard Brodeur, and the last name VANBIESBROUCK.", AIOEU Martin Brodeur 99 Battiscombe Gunn 85 Marin Sorescu 79 Baggio Leung 70 Ali Ozgenturk 61
AIOUE,David Souter,https://en.wikipedia.org/wiki/David_Souter,US Supreme Court Justice,"This slot is fertile—though we must give the nod to a former Supreme Court justice, we note Oscar winner David O. Russell, Obama advisor David Plouffe, iPhone reviewer David Pogue, and Disney animator Hamilton Luske.", AIOUE Francis Poulenc 100 David O. Russell 98 David Souter 98 Madison Hubbell 98 Plaxico Burress 96
