vowels,name,subtitle
AEOUI,Francesco Quinn,
AEUOI,Charles Bukowski,
AEUOI,Manfred S. Lubovitz,
AEUOI,Blanche Dubois,
AIEOU,Charlie Hough,
AIEUO,Craig Ferguson,
AIEUO,Alice Munro,
AIOUE,David O. Russell,
AIOUE,Plaxico Burress,
AIUEO,Maxim Kuznetzov,
AOEIU,Hans Cornelius,
AOEIU,Macropedius,
AOUEI,Carlos Quentin,
AUEIO,Arthur Eddington,
AUEIO,Laurent Fignon,
AUEOI,Samuel Goldfish,
AUIOE,Jacquizz Rodgers,
EAIOU,Screaming Lord Sutch,
EAOUI,Jean Louis,
EAUIO,Beau Dixon,
EAUIO,Neal Hutchinson,
EIAOU,Keith Barbour,
EIAOU,Emil Lahoud,
EUOAI,Melus of Bari,
IAEUO,Niall Ferguson,
IAOUE,Richard Boucher,
IEOAU,Philemon Van Trump,
IE'OUA,Dinesh D'Souza,
IEOUA,Diego Luna,
IEUOA,Winbert Mulholland,
IOAEU,Fritz Konrad Ernst Zumpt,
IOEUA,Christoph Ernst Luthardt,
IUAEO,Wilbur Davenport,
IUAOE,Wilbur Hargrove,
IUAOE,Sir Hugh Walpole,
IUEAO,Miguel Tacon,
IUEOA,Miguel Concha,
OAEIU,Horace Lindrum,
OAEUI,Vontaze Burfict,
OAIUE,Omar Vizquel,
OAUEI,Omar Uresti,
OEIAU,Joseph Schildkraut,
OEIUA,Hossein Kuhkan,
OIAUE,Gloria Russell,
OIUEA,Monique Chang,
OUAEI,Douglas J. Feith,
OUIAE,John Frusciante,
UAEIO,Susan J. Elliott,
UAEIO,Stuart Elliott,
UAEIO,Duane Gibson,
UAOIE,Susan Oliver,
UIAEO,Julian Lennon,
UIAEO,Curtis Granderson,
UIOEA,Judith Vogelsang,
UIOEA,Guido Crepax,
UOAEI,Bruno Martelli,
UOAIE,Just Fontaine,
UOAIE,Burton Malkiel,
